Identifier,Text,Source,Type,TimeStamp
cleaned_content.txt_11,"Starts: The first month after your Initial Enrollment Period ends.
Ends: 8 months after the group health plan coverage or the employment ends, whichever happens first.
Coverage begins:The month after you sign up.
COBRA isn't considered group health plan coverage.
Getting COBRA doesnt change when this Special Enrollment Period ends.
Fill out form CMS-18-F-5 to sign up for Parts A and B.
Fill out form CMS 40B to sign up for Part B if you already have Part A.
Send the completed form to your local Social Security office by fax or mail.
Starts: The first month after your Initial Enrollment Period ends.
Ends:8 months after the group health plan coverage or the employment ends, whichever happens first.
Coverage begins:The month after you sign up.
COBRA isn't considered group health plan coverage.
Getting COBRA doesnt change when this Special Enrollment Period ends.
Fill out form CMS-18-F-5 to sign up for Parts A and B.
Fill out form CMS 40B to sign up for Part B if you already have Part A.
Send the completed form to your local Social Security office by fax or mail.
Youre no longer a volunteer outside the United States.
The organization youre volunteering with no longer has tax-exempt status.
You no longer have health insurance that provides coverage outside of the United States.",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_12,"You no longer have health insurance that provides coverage outside of the United States.
Ends: 6 months later.
Coverage begins: The month after you sign up.
Fill out form CMS-18-F-5 to sign up for Parts A and B.
Fill out form CMS 40B to sign up for Part B if you already have Part A.
Send the completed form to your local Social Security office by fax or mail.
Starts: Depends on when Social Security notifies you that you can sign up for Medicare.
Ends: 12 months later.
Coverage begins: The month after you sign up, or, you may decide for coverage to begin after the end of your Initial Enrollment Period.
Get more information about how TRICARE works with Medicare.
Check my specific situation to find outwhen to sign up.
Your COBRA coverage or retiree coverage ends.
You missed your 8-month window to sign up when you stopped working or lost job-based coverage.
You have or lose your Marketplace coverage.
You have End-Stage Renal Disease (ESRD).
Learn more about Medicare coverage for ESRD.
Find out when you can join a plan.
Medicaid Unwinding",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_13,"Renew Your Medicaid or CHIP Coverage
As COVID-19 becomes less of a threat, states will restart yearly Medicaid and Childrens Health Insurance Program (CHIP) eligibility reviews.
This means your state will use the information they have to decide if you or your family member(s) still qualify for Medicaid or CHIP coverage.
If your state needs more information from you to make a coverage decision, theyll send you a renewal letter in the mail.
Most children can still be covered through the Childrens Health Insurance Program.
For details, check your Medicaid notice or contact your state Medicaid office at the links below.
Get ready to renew now
Here are some things you can do to prepare for the renewal process:""
""Here are some things you can do to prepare for the renewal process:",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_14,"Update your contact information - Make sure your state has your current mailing address, phone number, email, or other contact information.
This way, theyll be able to contact you about your Medicaid or CHIP coverage.
Check your mail - Your state will mail you a letter about your coverage.
This letter will let you know if you need to complete a renewal form to see if you still qualify for Medicaid or CHIP.
Complete your renewal form (if you get one) - Fill out the form and return it to your state right away to help avoid a gap in your coverage.
If you no longer qualify for Medicaid or CHIP
You may be able to buy a health plan through the Health Insurance Marketplace, and get help paying for it.
Marketplace plans are:

4 out of 5 enrollees can find plans that cost less than $10 a month.
Plans cover things like prescription drugs, doctor visits, urgent care, hospital visits, and more.
For More Help
Contact your state Medicaid office for more information about Medicaid or CHIP renewal.
Call the ACA Genius team at 512-601-5557 , or go to our website at ACAGenius.com",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_15,"Medicaid, CHIP, and Marketplace Eligibility for Immigrants
Lawfully present immigrants may qualify for Medicaid and CHIP but are subject to certain eligibility restrictions.
In general, lawfully present immigrants must have a qualified immigration status to be eligible for Medicaid or CHIP, and many, including most lawful permanent residents or green card holders, must wait five years after obtaining qualified status before they may enroll.
Some immigrants with qualified status, such as refugees and asylees, do not have to wait five years before enrolling.
Some immigrants, such as those with temporary protected status, are lawfully present but do not have a qualified status and are not eligible to enroll in Medicaid or CHIP regardless of their length of time in the country.
For children and pregnant people, states can eliminate the five-year wait and extend coverage to lawfully present immigrants without a qualified status.
As of January 2022, 35 states have taken up this option for children and half have elected the option for pregnant individuals.""
""In December 2020, Congress restored Medicaid eligibility for citizens of Compact of Free Association (COFA) communities.
COFA agreements are between the U.S. government and the Republic of the Marshall Islands, the Federated States of Micronesia, and the Republic of Palau.",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_16,"Certain citizens of these nations can lawfully work, study, and reside in the U.S., but they had been excluded from federally-funded Medicaid since 1996, under the Personal Responsibility and Work Opportunity Reconciliation Act.
As part of a COVID-relief package, Congress restored Medicaid eligibility for COFA citizens who meet other eligibility requirements for the program effective December 27, 2020.
Lawfully present immigrants can purchase coverage through the ACA Marketplaces and may receive tax credits for this coverage.
Like citizens, they can get tax credits to help pay for premiums and cost sharing that vary on a sliding scale based on income.
Generally, these tax credits are available to people with incomes starting from 100% of the federal poverty level (FPL) who are not eligible for other affordable coverage.
In addition, lawfully present immigrants with incomes below 100% FPL may receive tax credits if they are ineligible for Medicaid based on immigration status.
This group includes lawfully present immigrants who are not eligible for Medicaid or CHIP because they are in the five-year waiting period or do not have a qualified status.""
""Undocumented immigrants are not eligible to enroll in Medicaid or CHIP or to purchase coverage through the ACA Marketplaces.
Under rules issued by the Centers for Medicare and Medicaid Services (CMS), individuals with Deferred Action for Childhood Arrivals status are not considered lawfully present for purposes of health coverage eligibility and remain ineligible for coverage options.",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_17,"Medicaid payments for emergency services may be made on behalf of individuals who are otherwise eligible for Medicaid but for their immigration status.
These payments cover costs for emergency care for lawfully present immigrants who remain ineligible for Medicaid as well as for undocumented immigrants.
States can extend Medicaid and CHIP coverage to pregnant people regardless of immigration status.
Since 2002, states have had the option to provide prenatal care to people regardless of immigration status by extending CHIP coverage to the unborn child.
As of January 2022, 18 states had adopted this option.
In 2022, several additional states took up or passed legislation to take up this option, including Connecticut, Maine, and Maryland.
Unlike other pregnancy-related coverage in Medicaid and CHIP, which requires 60 days of postpartum coverage, the unborn child option does not include this coverage.
However, some states that took up this option provided postpartum coverage regardless of immigration status either through a CHIP state plan amendment or using state-only funding.
In addition, the American Rescue Plan Act (ARPA) gave states the option to extend Medicaid postpartum coverage from 60 days to 12 months beginning in April 2022.",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_18,"Among the 37 states that have adopted this option, 7 statesCalifornia, Illinois, Maryland, Massachusetts, Minnesota, Rhode Island, and Washingtonhave extended the postpartum coverage to individuals regardless of immigration status; Connecticut will extend Medicaid-like state-funded coverage effective April 1, 2023 and Colorado will extend it effective 2025.
Eligibility for ACA Coverage Among Uninsured Immigrants""
""Eligibility for ACA Coverage Among Uninsured Immigrants
Many uninsured lawfully present immigrants are eligible for coverage options under the ACA but remain uninsured, while uninsured undocumented immigrants are ineligible for coverage options.
Prior to the pandemic, many uninsured lawfully present immigrants were eligible for ACA coverage through Medicaid or the ACA Marketplaces.
ARPA, enacted in 2021, further increased access to health coverage through temporary increases and expansions in eligibility for subsidies to buy health insurance through the health insurance Marketplaces and these enhanced subsidies will continue through 2025 under the Inflation Reduction Act (IRA).
With the temporary changes under ARPA and IRA, approximately three-quarters (77%) of uninsured lawfully present immigrants were eligible for coverage, including 28% who were eligible for Medicaid and 49% who were eligible for ACA subsidies (Figure 6).
Uninsured undocumented immigrants are ineligible to enroll in federally funded coverage options due to their immigration status.",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_19,"Uninsured undocumented immigrants are ineligible to enroll in federally funded coverage options due to their immigration status.
Many lawfully present immigrants who are eligible for coverage remain uninsured because immigrant families face a range of enrollment barriers, including fear, confusion about eligibility policies, difficulty navigating the enrollment process, and language and literacy challenges.
Research suggests that changes to immigration policy made by the Trump Administration contributed to growing fears among immigrant families about enrolling themselves and/or their children in Medicaid and CHIP even if they were eligible.
In particular, changes to the public charge policy likely contributed to decreases in participation in Medicaid among immigrant families and their primarily U.S.-born children.
The Biden Administration reversed many of these changes, including the changes to public charge policy, and has increased investments in outreach and enrollment assistance, which may facilitate increased enrollment of eligible uninsured immigrants.
State Funded Coverage for Immigrants""
""State Funded Coverage for Immigrants
Several states have expanded fully state-funded coverage for income-eligible children and pregnant individuals regardless of immigration status.
As of December 2022, eight states and DC (California, DC, Illinois, Maine, New York, Oregon, Rhode Island, Vermont and Washington) provide comprehensive state-funded coverage to all income-eligible children, regardless of immigration status.
Massachusetts provides primary and preventive services to all children, regardless of immigration status or income.",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_20,"Massachusetts provides primary and preventive services to all children, regardless of immigration status or income.
Connecticut expanded coverage to all children under age 12 in January 2023, with coverage continuing until age 19 if they remain eligible.
New Jersey has proposed to expand coverage to children regardless of immigration status in its Fiscal Year 2023 budget and Colorado will do so by 2025.""
""A few states have also expanded fully state-funded coverage to adult immigrants.
Through its longstanding locally funded Healthcare Alliance program, the District of Columbia provides health coverage to low-income residents regardless of immigration status.
In January 2020, California extended state-funded Medicaid coverage to young adults ages 19-26 regardless of immigration status, and adults ages 50 and older became eligible on May 1, 2022.
The state will further extend coverage to income-eligible adults ages 26 to 49, regardless of immigration status, no sooner than January 1, 2024.
In December 2020, Illinois extended state-funded coverage to low-income individuals ages 65 and older who were not eligible for Medicaid due to their immigration status.
As of July 2022, coverage was also extended to low-income immigrants ages 42 to 64, regardless of status, and proposed legislation would further expand this coverage to all adults ages 19 and older.",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_21,"In Oregon, the Cover All People Act extended state-funded coverage to all low-income adults who are not eligible due to immigration status, subject to available funding.
As of July 1, 2022, coverage was available to those ages 19-25 or 55 and older.
New York plans to extend state-funded Medicaid coverage to individuals ages 65 and older regardless of immigration status beginning in 2023.
Some additional states cover some income-eligible adults who are not otherwise eligible due to immigration status using state-only funds, but limit coverage to specific groups, such as lawfully present immigrants who are in the five-year waiting period for Medicaid coverage, or provide more limited benefits.""
""States can also provide state-funded premium subsidies to immigrants who are ineligible for federal premium subsidies in the Marketplace due to their immigration status.
In Colorado, beginning in 2023, state residents with incomes up to 300% FPL who do not qualify for health insurance under the ACA or other public programs because of their immigration status will be eligible for state-funded premium subsidies to assist them in purchasing individual coverage outside of the ACA Marketplace.
In December 2022, CMS approved a State Innovation Waiver from Washington that will allow all state residents regardless of immigration status to enroll in qualified health and dental plans through the state Marketplace and to benefit from state-funded subsidies effective January 1, 2024; the waiver does not affect eligibility for federally-funded subsidies.",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_22,"Research suggests that state coverage expansions for immigrants can reduce uninsurance rates, increase health care use, and improve health outcomes.
Californias 2016 expansion to cover low-income children regardless of immigration status was associated with a 34% decline in uninsurance rates; similarly, a study found that children who reside in states that have expanded coverage to all children regardless of immigration status were less likely to be uninsured, to forgo medical or dental care, and to go without a preventive health visit than children residing in states that have not expanded coverage.
Other research has found that expanding Medicaid pregnancy coverage regardless of immigration status was associated with higher rates of prenatal care utilization as well as improved outcomes including increases in average gestation length and birth weight among newborns.
Looking Ahead""
""Looking Ahead
Although noncitizen immigrants are as likely as citizens to work, they are significantly more likely to be uninsured due to more limited access to both public and private coverage.
Federal legislation has been proposed that would expand immigrant eligibility for health coverage, though there is no clear path to passage in Congress.
In the absence of federal action, some states are filling gaps in access to coverage for immigrants.
However, many remain ineligible for any coverage options, contributing to barriers to access and use of care.
Those eligible for coverage also face an array of barriers to enrollment, including fear and confusion about eligibility.",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_23,"Those eligible for coverage also face an array of barriers to enrollment, including fear and confusion about eligibility.
The Biden Administration has enacted changes to public charge policies that are intended to reduce fears of enrolling in health coverage and accessing care and increased funding for outreach and enrollment assistance, which may help eligible immigrant families enroll and stay enrolled in coverage.
However, even with increased eligibility and enhanced outreach and enrollment assistance, it will likely require time and sustained work, including community-led efforts, to rebuild trust and reduce fears among immigrant families about accessing health coverage and care.
Addressing the needs of immigrants is of growing importance as the pandemic has likely worsened the health and financial challenges faced by immigrants and there has been increasing immigration activity in the border region.
Premiums: Many Marketplace consumers will have access to a range of plans with little-to-no
monthly premiums because of Advance Payments of the Premium Tax Credit (APTC), one type of
financial assistance consumers may receive through the Marketplace. .
  Deductibles: Help consumers understand that there are multiple types of deductibles (e.g.,
medical and prescription deductibles, and depending on whether the service is in or out of the
plans provider network).
Be sure to discuss which services are covered before the deductible
goes is met..
  Out-of-Pocket Costs: Looking at out-of-pocket costs can be a great place to start when
comparing many available plans.",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_24,"comparing many available plans.
Explain to consumers that their past and current healthcare
utilization can help estimate annual out-of-pocket costs and ultimately inform the best plan
choice.
Consumers who expect to use their coverage more, such as consumers who are likely to
require more prescriptions and doctor visits, may benefit from selecting a plan that will cover
more of their care, even if it may mean a higher monthly premium.
Many Marketplaces have an
out-of-pocket cost calculator that can help consumers evaluate total cost under various
assumptions.
Some Marketplace enrollees can get another kind of help: Cost-sharing Reductions""
""(CSRs), which are generally only available by enrolling in a silver plan.
Help consumers consider
total costs beyond premiums.
Although  0 monthly premiums might look attractive, consumers
need to understand how deductibles and out-of-pocket costs affect what they will pay for when
using coverage throughout the year
Present the Metal Level That Best Suits Consumers Needs
Another key factor in the plan selection process is helping consumers choose metal level plans that best fit their
individual needs.
Each metal level has different key attributes that should be thoroughly explained to consumers for
their consideration.
Below are reminders and key differences between each of the metal level plans:
  Bronze: Bronze plans generally have the lowest monthly premiums but have the highest costs
associated with coverage.",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_25,"associated with coverage.
These plans may be a good option for consumers who want a low-
Note: Members of a federally recognized tribe or Alaska Native Claims Settlement Act (ANCSA) Corporation shareholders may qualify
for additional CSRs for any metal level plan.
For more information on the special health coverage protections and benefits for
American Indians and Alaska Natives (including CSRs), please visit Health coverage for American Indians   Alaska Natives.
This communication was printed, published, or produced and disseminated at U.S. taxpayer expense.
cost way to protect themselves from worst-case medical scenarios.
You can review the cost of
things such as emergency surgeries, serious sickness or disease, or injuries that may require
Hospitalization, such as broken bones, with your clients to ensure they understand the potential
out-of-pocket costs they may face.
It is important to note that the monthly premium for a
Bronze plan will be low, but they have higher out-of-pocket costs so consumers will pay for
most routine care themselves, which could cost them more during the year than plans in other
metal levels.""
""metal levels.
Silver: Silver plans generally have moderate monthly premiums and out-of-pocket costs, but
have unique savings opportunities for consumers eligible for CSRs.
Silver plans are usually a
good option for consumers who are willing to pay a slightly higher monthly premium to have
more of their routine care covered.",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_26,"more of their routine care covered.
Since recent legislation has temporarily increased the
amount of APTC available to certain individuals and families specifically those with incomes up
to 150  FPL, silver plans are often available at the same net price to consumers as bronze plans.
Silver plans are also the only way for most consumers who are eligible for CSRs to take
advantage of these enhanced savings.
CSRs reduce the costs of deductibles, copayments, and
coinsurance for consumers with projected annual household incomes between 100  and 250 
of the federal poverty level (FPL).
Consumers with projected annual household income between
100  and 200  FPL get the most help, with silver plan enrollment often covering more
premium and out of pocket costs than gold plan or even in some cases platinum plans.
CSReligible consumers who enroll in a silver plan may also have a low or  0 premium after receipt of
APTC.
Many CSR- eligible consumers would benefit from enrolling in Silver plans.
Gold: Gold plans generally have high monthly premiums and low costs when consumers need
care.
Deductibles for Gold plans are typically low.
These plans may be a good option for
consumers who are ineligible for CSRs and willing to pay more each month to cover costs  
knowing that they will pay less when seeking treatment   and for those who intend to use care",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_27,"knowing that they will pay less when seeking treatment   and for those who intend to use care
more frequently.
Platinum: Platinum plans have the highest monthly premiums and lowest costs for healthcare""
""Platinum: Platinum plans have the highest monthly premiums and lowest costs for healthcare
use.
Deductibles are very low, which means that the Platinum plan will start paying its share of
healthcare costs earlier than other metal levels.
Because of these factors, these plans may be a
good option for consumers ineligible for CSRs who use a considerable amount of care and are
willing to pay a high monthly premium, knowing nearly all other costs will be covered.
Note: Members of a federally recognized tribe or Alaska Native Claims Settlement Act (ANCSA) Corporation shareholders may qualify
for additional CSRs for any metal level plan.
For more information on the special health coverage protections and benefits for
American Indians and Alaska Natives (including CSRs), please visit Health coverage for American Indians   Alaska Natives.
This communication was printed, published, or produced and disseminated at U.S. taxpayer expense.
Take Advantage of Additional Savings
In addition to APTC, consumers with projected annual household incomes between 100  and 250  of the FPL will
qualify for extra savings that lower the amount they will have to pay to meet deductibles, copayments, and coinsurance
(CSRs).",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_28,"(CSRs).
If a consumer qualifies CSRs, the consumer generally must enroll in a Silver plan to get the extra savings (e.g.,
reduced costs for hospitalizations, doctor office visits, prescription drugs).
Consumers wishing to maximize their overall
savings should be reminded that they are more likely to experience unexpected costs when they seek care if they have a
Bronze plan compared to a plan at a higher metal level.
Healthy consumers with incomes at the higher-end of CSR
eligibility may not see the value in CSR out-of-pocket savings, due to their potential for lower utilization of coverage.""
""Therefore, agents and brokers should help consumers understand how they would pay for a large, unexpected medical
cost, like a hospitalization.
Walking consumers through such a scenario would help CSR-eligible consumers see the
overall value of enrolling in a Silver plan.
What Employers Need to Know About the Rule Change
For Affordability of Employer Coverage for Family Members of
Employees For Purposes of Eligibility for the Premium Tax Credit
The rule that defines for purposes of eligibility for the premium tax credit (PTC) whether an offer of employersponsored health coverage is affordable has changed.
It is estimated that, as a result of this change about
1 million Americans will either gain coverage or see their insurance become more affordable, so it is""",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_29,"1 million Americans will either gain coverage or see their insurance become more affordable, so it is""
""1 million Americans will either gain coverage or see their insurance become more affordable, so it is
important that employers are aware of what the rule change is, and what it means for their employees
and dependents.
Background
Consumers who enroll in a Qualified Health Plan
(QHP) through the Marketplace may be eligible for
savings through PTC and or cost sharing reductions
(CSRs).
Under the Patient Protection and Affordable
Care Act (ACA), a consumer who has an offer of
employer-sponsored coverage does not qualify
for any of these financial assistance options unless
the offer of coverage is considered unaffordable or
fails to meet a minimum value standard.
For 2023,
a plan is considered unaffordable if the plans
premiums exceed 9.12 percent of the employees
household income.
This percentage is referred to as
the Required Contribution Percentage (RCP).
What is changing?
The new rule on affordability of employer coverage for the family members of employees
changes how affordability is calculated for employees family members and increases the number of
consumers who have access to financial assistance through the Marketplace.
The New rule applies as
of January 1, 2023.
Until now, employer coverage has been considered affordable for all family members to whom an employers",https://www.healthcare.gov/,ACA,5/11/2023
cleaned_content.txt_30,"Until now, employer coverage has been considered affordable for all family members to whom an employers
offer extends if the premium for the employees self-only coverage was affordable.
The premium required
to cover any family members was not taken into account.
As a result, all members of the employees family
would be ineligible for financial assistance through the Marketplace if the premium for the employees selfonly coverage was considered affordable.
Under the new affordability rule, if a consumer has an offer of employer coverage that extends to their""
""Under the new affordability rule, if a consumer has an offer of employer coverage that extends to their
family members, the affordability of employer coverage for those family members will be based on the family
premium amount, not the self-only employee premium cost.
As a result, members of the employees family
will be eligible for financial assistance through the Marketplace if the premium for the employees family
coverage is considered unaffordable.
Employers can notify
employees and their
families who have offers
of employer health
coverage that they may
have new opportunities
for savings on
HealthCare.gov, even if
they were not eligible
before.
Employers can use the
for employees to help them input the correct
information when they fill out a Marketplace
application.
If coverage is considered affordable for the employee but not the employees family members, there
are a variety of ways employees can obtain coverage for them and their family:",https://www.healthcare.gov/,ACA,5/11/2023
